gameId	code	displayName	category	family	regionScope	provinceCode	cityCode	version	enabled	sourceModule
382	nyxxmj	NYXXMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	0	NYXXMJ
900004	nzdl	NZDL	POKER	poker-pao-de-kuai	PROVINCE	unpublished		1.0.0	0	NZDL
328	nzmj	NZMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	0	NZMJ
336	nzwsk	NZWSK	POKER	poker-pao-de-kuai	PROVINCE	henan		1.0.0	0	NZWSK
99	pbyhmj	PBYHMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangxi		1.0.0	1	PBYHMJ
199	pcmj	PCMJ	MAHJONG	mahjong-lai-zi	PROVINCE	fujian		1.0.0	0	PCMJ
8	pdk	PDK	POKER	poker-pao-de-kuai	NATIONAL			1.0.0	1	PDK
900005	pdk_bak	PDK_BAK	POKER	poker-pao-de-kuai	PROVINCE	unpublished		1.0.0	0	PDK_BAK
388	pdsjxmj	PDSJXMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	0	PDSJXMJ
383	pdslsmj	PDSLSMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	0	PDSLSMJ
324	pdsyxmj	PDSYXMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	0	PDSYXMJ
414	phmj	PHMJ	MAHJONG	mahjong-lai-zi	PROVINCE	fujian		1.0.0	1	PHMJ
101	pnyhmj	PNYHMJ	MAHJONG	mahjong-standard	PROVINCE	jiangxi		1.0.0	1	PNYHMJ
18	pt13mj	PT13MJ	MAHJONG	mahjong-standard	PROVINCE	fujian		1.0.0	0	PT13MJ
11	ptmj	PTMJ	MAHJONG	mahjong-xue-zhan	PROVINCE	fujian		1.0.0	0	PTMJ
76	px258mj	PX258MJ	MAHJONG	mahjong-standard	PROVINCE	jiangxi		1.0.0	1	PX258MJ
75	px3gt	PX3GT	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	1	PX3GT
74	px6gt	PX6GT	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	1	PX6GT
35	pxcn	PXCN	POKER	poker-pao-de-kuai	PROVINCE	fujian		1.0.0	1	PXCN
92	pxmj	PXMJ	MAHJONG	mahjong-tui-dao-hu	PROVINCE	jiangxi		1.0.0	1	PXMJ
115	pxpdk	PXPDK	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	1	PXPDK
596	pxphz	PXPHZ	WORD_CARD	word-card-pao-hu-zi	PROVINCE	jiangxi		1.0.0	1	PXPHZ
73	pxzzmj	PXZZMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangxi		1.0.0	1	PXZZMJ
