module	javaFiles	category	family	evidenceScores
NZDL	114	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:182,LONG_CARD:0,WORD_CARD:0
NZMJ	109	MAHJONG	mahjong-standard	MAHJONG:328,POKER:0,LONG_CARD:0,WORD_CARD:2
NZWSK	124	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:211,LONG_CARD:0,WORD_CARD:0
PBYHMJ	97	MAHJONG	mahjong-lai-zi	MAHJONG:393,POKER:0,LONG_CARD:0,WORD_CARD:0
PCMJ	115	MAHJONG	mahjong-lai-zi	MAHJONG:399,POKER:0,LONG_CARD:0,WORD_CARD:0
PDK	108	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:187,LONG_CARD:0,WORD_CARD:0
PDK_BAK	90	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:132,LONG_CARD:0,WORD_CARD:0
PDSJXMJ	100	MAHJONG	mahjong-standard	MAHJONG:317,POKER:0,LONG_CARD:0,WORD_CARD:0
PDSLSMJ	98	MAHJONG	mahjong-standard	MAHJONG:220,POKER:0,LONG_CARD:0,WORD_CARD:0
PDSYXMJ	101	MAHJONG	mahjong-standard	MAHJONG:330,POKER:0,LONG_CARD:0,WORD_CARD:0
PHMJ	103	MAHJONG	mahjong-lai-zi	MAHJONG:439,POKER:0,LONG_CARD:0,WORD_CARD:0
PNYHMJ	99	MAHJONG	mahjong-standard	MAHJONG:384,POKER:0,LONG_CARD:0,WORD_CARD:0
PT13MJ	87	MAHJONG	mahjong-standard	MAHJONG:315,POKER:0,LONG_CARD:0,WORD_CARD:0
PTMJ	83	MAHJONG	mahjong-xue-zhan	MAHJONG:270,POKER:0,LONG_CARD:0,WORD_CARD:0
PX258MJ	94	MAHJONG	mahjong-standard	MAHJONG:354,POKER:0,LONG_CARD:0,WORD_CARD:0
PX3GT	127	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:418,LONG_CARD:0,WORD_CARD:0
PX6GT	129	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:424,LONG_CARD:0,WORD_CARD:0
PXCN	99	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:57,LONG_CARD:0,WORD_CARD:0
PXMJ	105	MAHJONG	mahjong-tui-dao-hu	MAHJONG:385,POKER:1,LONG_CARD:0,WORD_CARD:0
PXPDK	101	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:179,LONG_CARD:0,WORD_CARD:0
PXPHZ	125	WORD_CARD	word-card-pao-hu-zi	MAHJONG:290,POKER:0,LONG_CARD:4,WORD_CARD:255
PXZZMJ	84	MAHJONG	mahjong-lai-zi	MAHJONG:229,POKER:0,LONG_CARD:0,WORD_CARD:0
PY	136	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:375,LONG_CARD:0,WORD_CARD:0
PYDD	123	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:182,LONG_CARD:0,WORD_CARD:0
PYMJ	97	MAHJONG	mahjong-standard	MAHJONG:390,POKER:0,LONG_CARD:0,WORD_CARD:0
PYPDK	95	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:148,LONG_CARD:0,WORD_CARD:0
PYPP	130	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:389,LONG_CARD:0,WORD_CARD:0
PYSFT	110	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:191,LONG_CARD:0,WORD_CARD:0
